metric,threshold,value,unit
full_domain_mean_area,28.0,37.501,1e6_km2
full_domain_mean_area,28.5,28.031,1e6_km2
full_domain_mean_area,29.0,18.547,1e6_km2
full_domain_centroid_lon,28.0,167.832,degE
full_domain_centroid_lon,28.5,162.981,degE
full_domain_centroid_lon,29.0,158.759,degE
full_domain_centroid_lat,28.0,2.020,deg
full_domain_centroid_lat,28.5,1.537,deg
full_domain_centroid_lat,29.0,1.084,deg
full_domain_28_29_median_separation,28-29,1021.1,km
full_domain_28_29_p95_separation,28-29,1869.3,km
lcc_centroid_lon,28.0,163.675,degE
lcc_centroid_lon,28.5,159.184,degE
lcc_centroid_lon,29.0,156.925,degE
lcc_centroid_lat,28.0,1.206,deg
lcc_centroid_lat,28.5,0.636,deg
lcc_centroid_lat,29.0,0.196,deg
lcc_area_change_28_to_29,28-29,-56.85,percent
lcc_robust_longitude_range_change_28_to_29,28-29,53.69,percent
lcc_longitude_sd_change_28_to_29,28-29,62.30,percent
lcc_radial_p95_change_28_to_29,28-29,61.81,percent
lcc_28_29_median_separation,28-29,1015.2,km
occurrence_mean_gridcell_fraction,28.0,15.86,percent
occurrence_mean_gridcell_fraction,28.5,11.83,percent
occurrence_mean_gridcell_fraction,29.0,7.82,percent
